Key	default	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
ThingDef&KokuWoodenJaw.label	Wooden jaw		Holzkiefer		Drewniana szczęka							Деревянная челюсть	Дерев'яна щелепа											Maxilar de madeira					
ThingDef&KokuWoodenJaw.description	Jaw replacement made out of wood. \nSmells gross and tastes even worse.		Ersatzkiefer aus Holz. \nRiecht ekelhaft und schmeckt noch schlimmer.		Zamiennik szczęki wykonane z drewna. \nPachnie obrzydliwie i smakuje jeszcze gorzej.							Замена челюсти, сделанная из дерева. \nПахнет отвратительно и на вкус еще хуже.	Заміна щелепи, виготовлена з дерева. \nПахне огидно і смакує ще гірше.											Substituto da mandíbula feito de madeira. \nCheira mal e tem um gosto ainda pior.					
ThingDef&KokuWoodenArm.label	wooden shoulder-arm		Holzarm		Drewniane ramie							Деревянная рука	Дерев'яне рука											Braço de madeira					
ThingDef&KokuWoodenArm.description	Arm replacement made out of wood. \nLooks bad, feels bad, is bad.		Ersatzarm aus Holz. \nSieht schlecht aus, fühlt sich schlecht an, ist schlecht.		Zamiennik ramienia wykonane z drewna. \nWygląda źle, czuje się źle, jest zła.							Замена руки, сделанная из дерева. \nВыглядит плохо, ощущается плохо, она плоха.	Заміна руки, виготовлена з дерева. \nВиглядає погано, відчувається погано, є поганою.											Substituto do braço feito de madeira. \nParece ruim, se sente ruim, é ruim.					
ThingDef&KokuWoodenLeg.label	wooden leg		Holzbein		Drewniana noga							Деревянная нога	Дерев'яна нога											Perna de madeira					
ThingDef&KokuWoodenLeg.description	Leg replacement made out of wood. \nLooks bad, feels bad, is bad.		Ersatzbein aus Holz. \nSieht schlecht aus, fühlt sich schlecht an, ist schlecht.		Zamiennik nogi wykonane z drewna. \nWygląda źle, czuje się źle, jest zła.							Замена ноги, сделанная из дерева. \nВыглядит плохо, ощущается плохо, она плоха.	Заміна ноги, виготовлена з дерева. \nВиглядає погано, відчувається погано, є поганою.											Substituto da perna feito de madeira. \nParece ruim, se sente ruim, é ruim.					
ThingDef&KokuArtificialNose.label	artificial nose		Künstliche Nase		Sztuczny nos							Искусственный нос	Штучний ніс											Nariz artificial					
ThingDef&KokuArtificialNose.description	Nose replacement made out of steel. \nCovers the hole in the face and also allows the user to smell simple substances.		Ersatznase aus Stahl. \nDeckt das Loch im Gesicht ab und ermöglicht dem Benutzer, einfache Substanzen zu riechen.		Zamiennik nosa wykonane ze stali. \nZakrywa otwór w twarzy i pozwala użytkownikowi na wąchanie prostych substancji.							Замена носа, сделанная из стали. \nЗакрывает отверстие в лице и позволяет пользователю вдыхать простые вещества.	Заміна носа, виготовлена зі сталі. \nЗакриває отвір на обличчі та дозволяє користувачеві відчувати прості аромати.											Substituto do nariz feito de aço. \nCobre o buraco no rosto e permite que o usuário cheire substâncias simples.					
ThingDef&KokuArtificialEar.label	artificial ear		Künstliches Ohr		Sztuczne ucho							Искусственное ухо	Штучне вухо											Orelha artificial					
ThingDef&KokuArtificialEar.description	Ear replacement made out of steel. \nCovers the hole in the head and also allows the user to hear simple sounds.		Ersatzohr aus Stahl. \nDeckt das Loch im Kopf ab und ermöglicht dem Benutzer, einfache Geräusche zu hören.		Zamiennik ucha wykonane ze stali. \nZakrywa otwór w głowie i pozwala użytkownikowi słyszeć proste dźwięki.							Замена уха, сделанная из стали. \nЗакрывает отверстие в голове и позволяет пользователю слышать простые звуки.	Заміна вуха, виготовлена зі сталі. \nЗакриває отвір у голові та дозволяє користувачеві чути прості звуки.											Substituto da orelha feito de aço. \nCobre o buraco na cabeça e permite que o usuário ouça sons simples.					
